Cycle,Current_mA,Voltage_V,Power_mW,Command
41940,165.000,1.200,198.000,WRITE
42140,165.000,1.200,198.000,WRITE
42340,165.000,1.200,198.000,WRITE
42540,165.000,1.200,198.000,WRITE
42740,165.000,1.200,198.000,WRITE
42940,165.000,1.200,198.000,WRITE
43140,165.000,1.200,198.000,WRITE
43340,165.000,1.200,198.000,WRITE
43540,165.000,1.200,198.000,WRITE
43740,165.000,1.200,198.000,WRITE
43940,165.000,1.200,198.000,WRITE
44140,165.000,1.200,198.000,WRITE
44340,165.000,1.200,198.000,WRITE
44540,165.000,1.200,198.000,WRITE
44740,165.000,1.200,198.000,WRITE
44940,165.000,1.200,198.000,WRITE
45140,165.000,1.200,198.000,WRITE
45340,165.000,1.200,198.000,WRITE
45540,165.000,1.200,198.000,WRITE
45740,165.000,1.200,198.000,WRITE
45940,165.000,1.200,198.000,WRITE
46140,165.000,1.200,198.000,WRITE
46340,165.000,1.200,198.000,WRITE
46540,165.000,1.200,198.000,WRITE
46740,165.000,1.200,198.000,WRITE
46940,165.000,1.200,198.000,WRITE
47140,165.000,1.200,198.000,WRITE
47340,165.000,1.200,198.000,WRITE
47540,165.000,1.200,198.000,WRITE
47740,165.000,1.200,198.000,WRITE
47940,165.000,1.200,198.000,WRITE
48140,165.000,1.200,198.000,WRITE
48340,165.000,1.200,198.000,WRITE
48540,165.000,1.200,198.000,WRITE
48740,165.000,1.200,198.000,WRITE
48940,165.000,1.200,198.000,WRITE
49140,165.000,1.200,198.000,WRITE
49340,165.000,1.200,198.000,WRITE
49540,165.000,1.200,198.000,WRITE
49740,165.000,1.200,198.000,WRITE
49940,165.000,1.200,198.000,WRITE
50140,165.000,1.200,198.000,WRITE
50340,165.000,1.200,198.000,WRITE
50540,165.000,1.200,198.000,WRITE
50740,165.000,1.200,198.000,WRITE
50940,165.000,1.200,198.000,WRITE
51140,165.000,1.200,198.000,WRITE
51320,180.000,1.200,216.000,READ
51520,180.000,1.200,216.000,READ
51720,180.000,1.200,216.000,READ
51920,180.000,1.200,216.000,READ
52120,180.000,1.200,216.000,READ
52320,180.000,1.200,216.000,READ
52520,180.000,1.200,216.000,READ
52720,180.000,1.200,216.000,READ
52920,180.000,1.200,216.000,READ
53120,180.000,1.200,216.000,READ
53320,180.000,1.200,216.000,READ
53520,180.000,1.200,216.000,READ
53720,180.000,1.200,216.000,READ
53920,180.000,1.200,216.000,READ
54120,180.000,1.200,216.000,READ
54320,180.000,1.200,216.000,READ
54520,180.000,1.200,216.000,READ
54720,180.000,1.200,216.000,READ
54920,180.000,1.200,216.000,READ
55120,180.000,1.200,216.000,READ
55320,180.000,1.200,216.000,READ
55520,180.000,1.200,216.000,READ
55720,180.000,1.200,216.000,READ
55920,180.000,1.200,216.000,READ
56120,180.000,1.200,216.000,READ
56320,180.000,1.200,216.000,READ
56520,180.000,1.200,216.000,READ
56720,180.000,1.200,216.000,READ
56920,180.000,1.200,216.000,READ
57120,180.000,1.200,216.000,READ
57320,180.000,1.200,216.000,READ
57520,180.000,1.200,216.000,READ
57720,180.000,1.200,216.000,READ
57920,180.000,1.200,216.000,READ
58120,180.000,1.200,216.000,READ
58320,180.000,1.200,216.000,READ
58520,180.000,1.200,216.000,READ
58720,180.000,1.200,216.000,READ
58920,180.000,1.200,216.000,READ
59120,180.000,1.200,216.000,READ
59320,180.000,1.200,216.000,READ
59520,180.000,1.200,216.000,READ
59720,180.000,1.200,216.000,READ
59920,180.000,1.200,216.000,READ
60120,180.000,1.200,216.000,READ
60320,180.000,1.200,216.000,READ
60520,180.000,1.200,216.000,READ
60720,180.000,1.200,216.000,READ
60920,180.000,1.200,216.000,READ
61120,180.000,1.200,216.000,READ
61320,180.000,1.200,216.000,READ
61520,180.000,1.200,216.000,READ
61720,180.000,1.200,216.000,READ
61920,180.000,1.200,216.000,READ
62120,180.000,1.200,216.000,READ
62320,180.000,1.200,216.000,READ
62520,180.000,1.200,216.000,READ
62720,180.000,1.200,216.000,READ
62920,180.000,1.200,216.000,READ
63120,180.000,1.200,216.000,READ
63320,180.000,1.200,216.000,READ
63520,180.000,1.200,216.000,READ
63720,180.000,1.200,216.000,READ
63920,180.000,1.200,216.000,READ
64110,60.000,1.200,72.000,ACTIVATE
64310,60.000,1.200,72.000,ACTIVATE
64510,60.000,1.200,72.000,ACTIVATE
64710,60.000,1.200,72.000,ACTIVATE
64910,60.000,1.200,72.000,ACTIVATE
65110,60.000,1.200,72.000,ACTIVATE
65310,60.000,1.200,72.000,ACTIVATE
65510,60.000,1.200,72.000,ACTIVATE
65710,60.000,1.200,72.000,ACTIVATE
65910,60.000,1.200,72.000,ACTIVATE
66110,60.000,1.200,72.000,ACTIVATE
66310,60.000,1.200,72.000,ACTIVATE
66510,60.000,1.200,72.000,ACTIVATE
66710,60.000,1.200,72.000,ACTIVATE
66910,60.000,1.200,72.000,ACTIVATE
67110,60.000,1.200,72.000,ACTIVATE
67310,60.000,1.200,72.000,ACTIVATE
67510,60.000,1.200,72.000,ACTIVATE
67710,60.000,1.200,72.000,ACTIVATE
67910,60.000,1.200,72.000,ACTIVATE
68110,60.000,1.200,72.000,ACTIVATE
68310,60.000,1.200,72.000,ACTIVATE
68510,60.000,1.200,72.000,ACTIVATE
68710,60.000,1.200,72.000,ACTIVATE
68910,60.000,1.200,72.000,ACTIVATE
69110,60.000,1.200,72.000,ACTIVATE
69310,60.000,1.200,72.000,ACTIVATE
69510,60.000,1.200,72.000,ACTIVATE
69710,60.000,1.200,72.000,ACTIVATE
69910,60.000,1.200,72.000,ACTIVATE
70110,60.000,1.200,72.000,ACTIVATE
70310,60.000,1.200,72.000,ACTIVATE
70510,60.000,1.200,72.000,ACTIVATE
70710,60.000,1.200,72.000,ACTIVATE
70910,60.000,1.200,72.000,ACTIVATE
71110,60.000,1.200,72.000,ACTIVATE
71310,60.000,1.200,72.000,ACTIVATE
71510,60.000,1.200,72.000,ACTIVATE
71710,60.000,1.200,72.000,ACTIVATE
71910,60.000,1.200,72.000,ACTIVATE
72110,60.000,1.200,72.000,ACTIVATE
72310,60.000,1.200,72.000,ACTIVATE
72510,60.000,1.200,72.000,ACTIVATE
72710,60.000,1.200,72.000,ACTIVATE
72910,60.000,1.200,72.000,ACTIVATE
73110,60.000,1.200,72.000,ACTIVATE
73310,60.000,1.200,72.000,ACTIVATE
73510,60.000,1.200,72.000,ACTIVATE
73710,60.000,1.200,72.000,ACTIVATE
73910,60.000,1.200,72.000,ACTIVATE
74110,60.000,1.200,72.000,ACTIVATE
74310,60.000,1.200,72.000,ACTIVATE
74510,60.000,1.200,72.000,ACTIVATE
74710,60.000,1.200,72.000,ACTIVATE
74910,60.000,1.200,72.000,ACTIVATE
75110,60.000,1.200,72.000,ACTIVATE
75310,60.000,1.200,72.000,ACTIVATE
75510,60.000,1.200,72.000,ACTIVATE
75710,60.000,1.200,72.000,ACTIVATE
75910,60.000,1.200,72.000,ACTIVATE
76110,60.000,1.200,72.000,ACTIVATE
76310,60.000,1.200,72.000,ACTIVATE
76510,60.000,1.200,72.000,ACTIVATE
76710,60.000,1.200,72.000,ACTIVATE
76910,60.000,1.200,72.000,ACTIVATE
77099,40.000,1.200,48.000,IDLE
77299,40.000,1.200,48.000,IDLE
77499,40.000,1.200,48.000,IDLE
77699,40.000,1.200,48.000,IDLE
77899,40.000,1.200,48.000,IDLE
78099,40.000,1.200,48.000,IDLE
78299,40.000,1.200,48.000,IDLE
78499,40.000,1.200,48.000,IDLE
78699,40.000,1.200,48.000,IDLE
78899,40.000,1.200,48.000,IDLE
79099,40.000,1.200,48.000,IDLE
79299,40.000,1.200,48.000,IDLE
79499,40.000,1.200,48.000,IDLE
79699,40.000,1.200,48.000,IDLE
79899,40.000,1.200,48.000,IDLE
80099,40.000,1.200,48.000,IDLE
80299,40.000,1.200,48.000,IDLE
80499,40.000,1.200,48.000,IDLE
80699,40.000,1.200,48.000,IDLE
80899,40.000,1.200,48.000,IDLE
81099,40.000,1.200,48.000,IDLE
81299,40.000,1.200,48.000,IDLE
81499,40.000,1.200,48.000,IDLE
81699,40.000,1.200,48.000,IDLE
81899,40.000,1.200,48.000,IDLE
82099,40.000,1.200,48.000,IDLE
82299,40.000,1.200,48.000,IDLE
82499,40.000,1.200,48.000,IDLE
82699,40.000,1.200,48.000,IDLE
82899,40.000,1.200,48.000,IDLE
83099,40.000,1.200,48.000,IDLE
83299,40.000,1.200,48.000,IDLE
83499,40.000,1.200,48.000,IDLE
83699,40.000,1.200,48.000,IDLE
83899,40.000,1.200,48.000,IDLE
84099,40.000,1.200,48.000,IDLE
84299,40.000,1.200,48.000,IDLE
84499,40.000,1.200,48.000,IDLE
84699,40.000,1.200,48.000,IDLE
84899,40.000,1.200,48.000,IDLE
85099,40.000,1.200,48.000,IDLE
