BinStart,BinEnd,AvgCurrent_mA
69700,69800,112.5
69800,69900,106.25
69900,70000,165.0
70000,70100,116.66666666666667
70100,70200,240.0
70500,70600,105.0
70600,70700,146.66666666666666
71000,71100,45.0
71100,71200,170.0
71200,71300,168.0
71300,71400,142.0
71400,71500,36.666666666666664
71500,71600,165.0
71600,71700,146.66666666666666
72100,72200,240.0
72500,72600,240.0
72900,73000,45.0
73000,73100,146.66666666666666
73400,73500,240.0
73900,74000,240.0
74300,74400,240.0
74800,74900,240.0
75200,75300,240.0
75700,75800,105.0
75800,75900,126.66666666666667
75900,76000,240.0
76300,76400,130.0
76400,76500,147.5
76900,77000,117.5
77400,77500,240.0
77800,77900,240.0
78300,78400,240.0
78700,78800,240.0
79100,79200,45.0
79200,79300,170.0
79300,79400,121.66666666666667
79400,79500,102.5
79500,79600,121.0
79600,79700,240.0
80000,80100,240.0
80500,80600,240.0
80900,81000,32.5
81000,81100,240.0
81400,81500,240.0
81800,81900,45.0
81900,82000,98.75
82000,82100,141.66666666666666
82500,82600,106.25
82600,82700,105.0
82700,82800,145.0
82800,82900,146.25
82900,83000,180.0
83000,83100,165.0
83100,83200,102.5
83200,83300,180.0
83300,83400,130.0
83700,83800,240.0
84200,84300,240.0
84700,84800,240.0
85200,85300,240.0
85600,85700,240.0
86000,86100,45.0
86100,86200,172.5
86200,86300,153.33333333333334
86300,86400,240.0
86700,86800,130.0
86800,86900,168.75
86900,87000,165.0
87000,87100,155.0
87400,87500,45.0
87500,87600,81.66666666666667
87600,87700,20.0
87700,87800,240.0
88100,88200,240.0
88500,88600,112.5
88600,88700,177.0
88700,88800,175.0
88800,88900,118.0
88900,89000,121.66666666666667
89000,89100,141.0
89100,89200,146.66666666666666
89500,89600,240.0
90000,90100,112.5
90100,90200,151.25
90600,90700,130.0
90700,90800,98.75
90800,90900,130.0
91200,91300,240.0
91600,91700,45.0
91700,91800,32.5
91800,91900,170.0
91900,92000,32.5
92000,92100,176.25
92100,92200,66.25
92200,92300,112.5
92300,92400,130.0
92700,92800,45.0
92800,92900,172.5
92900,93000,172.5
93000,93100,174.0
93100,93200,170.0
93200,93300,172.5
93300,93400,32.5
93400,93500,172.5
93500,93600,102.5
93600,93700,176.25
93700,93800,155.0
94100,94200,240.0
94600,94700,240.0
95000,95100,240.0
95500,95600,112.5
95600,95700,142.0
95800,95900,142.5
95900,96000,116.66666666666667
96000,96100,240.0
96400,96500,105.0
96500,96600,76.66666666666667
96600,96700,98.75
96700,96800,180.0
96800,96900,116.66666666666667
96900,97000,146.25
97000,97100,128.75
97100,97200,146.25
97200,97300,180.0
97300,97400,155.0
97800,97900,240.0
98200,98300,125.0
98300,98400,102.5
98400,98500,140.83333333333334
98500,98600,240.0
98900,99000,240.0
99400,99500,240.0
99800,99900,112.5
99900,100000,130.0
100300,100400,45.0
100400,100500,180.0
100500,100600,76.66666666666667
100600,100700,130.0
101000,101100,240.0
101500,101600,32.5
101600,101700,240.0
102000,102100,105.0
102100,102200,136.25
102200,102300,130.0
102300,102400,175.0
102400,102500,170.0
102500,102600,175.0
102600,102700,172.5
102700,102800,86.0
102800,102900,240.0
103200,103300,45.0
103300,103400,92.5
103400,103500,135.0
103500,103600,147.5
104000,104100,153.0
104100,104200,66.25
104200,104300,45.0
104300,104400,104.16666666666667
104400,104500,76.66666666666667
104500,104600,240.0
104900,105000,45.0
105000,105100,136.25
105100,105200,240.0
105500,105600,45.0
105600,105700,115.0
105700,105800,168.75
105800,105900,172.5
105900,106000,66.25
106000,106100,36.666666666666664
106100,106200,167.5
106200,106300,146.66666666666666
106800,106900,240.0
107200,107300,45.0
107300,107400,132.5
107400,107500,112.5
107500,107600,121.0
107600,107700,172.5
107700,107800,168.75
107800,107900,141.66666666666666
108200,108300,125.0
108300,108400,175.0
108400,108500,130.0
108900,109000,112.5
109000,109100,121.66666666666667
109100,109200,130.0
109200,109300,130.0
109600,109700,240.0
110100,110200,153.0
110200,110300,176.25
110300,110400,130.0
110700,110800,105.0
110800,110900,155.0
111200,111300,45.0
111300,111400,32.5
111400,111500,165.0
111500,111600,102.5
111600,111700,180.0
111700,111800,171.42857142857142
111800,111900,172.5
111900,112000,136.0
112000,112100,142.5
112100,112200,81.66666666666667
112200,112300,86.0
112300,112400,240.0
112700,112800,105.0
112800,112900,32.5
112900,113000,130.0
113400,113500,125.0
113500,113600,146.66666666666666
114000,114100,135.0
114100,114200,66.25
114200,114300,240.0
114700,114800,153.0
114800,114900,146.66666666666666
115300,115400,153.0
115400,115500,165.0
115500,115600,118.0
115600,115700,130.0
116000,116100,240.0
116400,116500,240.0
116900,117000,240.0
117300,117400,105.0
117400,117500,100.0
117500,117600,240.0
117900,118000,240.0
118400,118500,240.0
118800,118900,240.0
119200,119300,240.0
119700,119800,240.0
120100,120200,76.66666666666667
120200,120300,240.0
120700,120800,81.66666666666667
120800,120900,142.5
120900,121000,28.333333333333332
121000,121100,240.0
121400,121500,125.0
121500,121600,28.333333333333332
121600,121700,130.0
121700,121800,81.66666666666667
121800,121900,106.25
121900,122000,172.5
122000,122100,174.0
122100,122200,145.0
122200,122300,81.66666666666667
122300,122400,240.0
122700,122800,240.0
123200,123300,32.5
123300,123400,112.5
123400,123500,126.66666666666667
123500,123600,240.0
123900,124000,45.0
124000,124100,165.0
124100,124200,116.66666666666667
124200,124300,240.0
124600,124700,36.666666666666664
124700,124800,170.0
124800,124900,130.0
125200,125300,240.0
125700,125800,32.5
125800,125900,240.0
126200,126300,240.0
126600,126700,45.0
126700,126800,81.66666666666667
126800,126900,141.66666666666666
127300,127400,240.0
127700,127800,240.0
128200,128300,130.0
128300,128400,145.83333333333334
128400,128500,144.0
128500,128600,146.66666666666666
128900,129000,45.0
129000,129100,92.5
129100,129200,240.0
129600,129700,118.0
129700,129800,240.0
130100,130200,240.0
130600,130700,240.0
131000,131100,240.0
131400,131500,45.0
131500,131600,180.0
131600,131700,81.66666666666667
131700,131800,177.85714285714286
131800,131900,102.5
131900,132000,126.66666666666667
132000,132100,76.66666666666667
132100,132200,130.0
132200,132300,176.25
132300,132400,175.0
132400,132500,116.66666666666667
132500,132600,36.666666666666664
132600,132700,81.66666666666667
132700,132800,168.0
132800,132900,151.0
133300,133400,240.0
133700,133800,112.5
133800,133900,170.0
133900,134000,142.0
134000,134100,240.0
134500,134600,240.0
134900,135000,240.0
135300,135400,240.0
135800,135900,105.0
135900,136000,140.0
136000,136100,240.0
136400,136500,240.0
136800,136900,45.0
136900,137000,76.66666666666667
137000,137100,76.66666666666667
137100,137200,92.5
137200,137300,240.0
137600,137700,240.0
138000,138100,45.0
138100,138200,172.5
138200,138300,168.0
138300,138400,32.5
138400,138500,98.75
138500,138600,146.66666666666666
139000,139100,155.0
139100,139200,176.25
139200,139300,100.0
139300,139400,240.0
139700,139800,240.0
140100,140200,240.0
140500,140600,45.0
140600,140700,121.66666666666667
140700,140800,240.0
141100,141200,112.5
141200,141300,32.5
141300,141400,32.5
141400,141500,116.66666666666667
141500,141600,112.5
141600,141700,130.0
142100,142200,240.0
142500,142600,45.0
142600,142700,92.5
142700,142800,240.0
143100,143200,45.0
143200,143300,32.5
143300,143400,172.5
143400,143500,102.5
143500,143600,20.0
143600,143700,240.0
144000,144100,240.0
144400,144500,45.0
144500,144600,172.5
144600,144700,165.0
144700,144800,176.25
144800,144900,170.0
144900,145000,32.5
145000,145100,141.66666666666666
145500,145600,240.0
145900,146000,240.0
146300,146400,45.0
146400,146500,102.5
146500,146600,175.0
146600,146700,141.66666666666666
147100,147200,130.0
147200,147300,151.25
147700,147800,240.0
148100,148200,45.0
148200,148300,165.0
148300,148400,76.66666666666667
148400,148500,175.0
148500,148600,170.0
148600,148700,141.66666666666666
149100,149200,240.0
149500,149600,105.0
149600,149700,176.25
149700,149800,132.5
149800,149900,240.0
150200,150300,240.0
150600,150700,45.0
150700,150800,171.0
150800,150900,175.0
150900,151000,130.0
151300,151400,130.0
151400,151500,141.66666666666666
151900,152000,240.0
152300,152400,240.0
152800,152900,240.0
153200,153300,105.0
153300,153400,102.5
153400,153500,121.66666666666667
153500,153600,121.25
154000,154100,125.0
154100,154200,100.0
154200,154300,240.0
154600,154700,102.5
154700,154800,240.0
155100,155200,45.0
155200,155300,115.0
155300,155400,92.5
155400,155500,240.0
155800,155900,240.0
156300,156400,125.0
156400,156500,123.33333333333333
156500,156600,180.0
156600,156700,130.0
157000,157100,45.0
157100,157200,136.25
157200,157300,130.0
157300,157400,172.5
157400,157500,136.25
157500,157600,125.0
157600,157700,130.0
158000,158100,105.0
158100,158200,168.75
158200,158300,165.0
158300,158400,145.0
158400,158500,32.5
158500,158600,125.0
158600,158700,175.0
158700,158800,177.0
158800,158900,165.0
158900,159000,76.66666666666667
159000,159100,172.5
159100,159200,175.0
159200,159300,180.0
159300,159400,32.5
159400,159500,160.0
159900,160000,240.0
160400,160500,125.0
160500,160600,170.0
160600,160700,32.5
160700,160800,102.5
160800,160900,180.0
160900,161000,171.0
161000,161100,174.0
161100,161200,174.0
161200,161300,118.0
161300,161400,130.0
161700,161800,240.0
162100,162200,240.0
162600,162700,142.5
162700,162800,132.5
162900,163000,240.0
163300,163400,240.0
163700,163800,45.0
163800,163900,180.0
163900,164000,180.0
164000,164100,121.66666666666667
164100,164200,240.0
164500,164600,45.0
164600,164700,175.0
164700,164800,130.0
165100,165200,240.0
165500,165600,45.0
165600,165700,151.25
166100,166200,240.0
166500,166600,240.0
166900,167000,240.0
167400,167500,130.0
167500,167600,141.66666666666666
167900,168000,45.0
168000,168100,180.0
168100,168200,174.0
168200,168300,172.5
168300,168400,32.5
168400,168500,121.66666666666667
168500,168600,106.25
168600,168700,125.0
168700,168800,176.25
168800,168900,175.0
168900,169000,32.5
169000,169100,130.0
169400,169500,240.0
169800,169900,45.0
169900,170000,180.0
170000,170100,172.5
170100,170200,92.5
170200,170300,142.5
170300,170400,142.0
170400,170500,240.0
170800,170900,112.5
170900,171000,176.25
171000,171100,76.66666666666667
171100,171200,106.25
171200,171300,174.0
171300,171400,20.0
171400,171500,142.5
171500,171600,81.66666666666667
171600,171700,100.0
171700,171800,240.0
172100,172200,45.0
172200,172300,168.75
172300,172400,171.0
172400,172500,171.0
172500,172600,180.0
172600,172700,130.0
173100,173200,240.0
173500,173600,240.0
173900,174000,240.0
174400,174500,240.0
174800,174900,240.0
175200,175300,240.0
175600,175700,45.0
175700,175800,172.5
175800,175900,81.66666666666667
175900,176000,126.66666666666667
176000,176100,130.0
176100,176200,180.0
176200,176300,168.0
176300,176400,130.0
176800,176900,240.0
177200,177300,240.0
177600,177700,45.0
177700,177800,170.0
177800,177900,106.25
177900,178000,180.0
178000,178100,121.66666666666667
178100,178200,240.0
178500,178600,146.25
178600,178700,170.0
178700,178800,32.5
178800,178900,76.66666666666667
178900,179000,76.66666666666667
179000,179100,180.0
179100,179200,121.0
179200,179300,141.66666666666666
179600,179700,240.0
180100,180200,32.5
180200,180300,81.66666666666667
180300,180400,76.66666666666667
180400,180500,112.5
180500,180600,81.66666666666667
180600,180700,175.0
180700,180800,81.66666666666667
180800,180900,130.0
181300,181400,240.0
181700,181800,112.5
181800,181900,130.0
182200,182300,45.0
182300,182400,126.66666666666667
182400,182500,240.0
182800,182900,81.66666666666667
182900,183000,112.5
183000,183100,136.25
183100,183200,105.0
183200,183300,142.0
183300,183400,240.0
183700,183800,240.0
184100,184200,45.0
184200,184300,180.0
184300,184400,170.0
184400,184500,146.66666666666666
184800,184900,240.0
185300,185400,32.5
185400,185500,68.75
185500,185600,20.0
185600,185700,135.0
185700,185800,130.0
186200,186300,240.0
186600,186700,106.25
186700,186800,121.25
187200,187300,130.0
187300,187400,151.25
187800,187900,240.0
188200,188300,240.0
188600,188700,45.0
188700,188800,140.0
188800,188900,135.0
188900,189000,146.66666666666666
189400,189500,146.25
189500,189600,165.0
189600,189700,155.0
190100,190200,240.0
190500,190600,45.0
190600,190700,121.66666666666667
190700,190800,130.0
190800,190900,172.5
190900,191000,66.25
191000,191100,76.66666666666667
191100,191200,106.25
191200,191300,240.0
191600,191700,125.0
191700,191800,155.0
192200,192300,240.0
192600,192700,112.5
192700,192800,155.0
193200,193300,76.66666666666667
193300,193400,146.25
193400,193500,102.5
193500,193600,170.0
193600,193700,100.0
193700,193800,138.75
193800,193900,115.0
193900,194000,180.0
194000,194100,28.333333333333332
194100,194200,240.0
194500,194600,45.0
194600,194700,102.5
194700,194800,170.0
194800,194900,175.0
194900,195000,132.5
195000,195100,240.0
195400,195500,135.0
195500,195600,142.0
195600,195700,135.0
195700,195800,98.75
195800,195900,170.0
195900,196000,106.25
196000,196100,155.0
196500,196600,101.66666666666667
197000,197100,240.0
197400,197500,240.0
197900,198000,240.0
198300,198400,112.5
198400,198500,170.0
198500,198600,172.5
198600,198700,172.5
198700,198800,20.0
198800,198900,147.0
198900,199000,146.66666666666666
199300,199400,240.0
199800,199900,105.0
199900,200000,102.5
200000,200100,76.66666666666667
200100,200200,92.5
200200,200300,240.0
200600,200700,45.0
200700,200800,172.5
200800,200900,176.25
200900,201000,146.66666666666666
201300,201400,45.0
201400,201500,130.0
201900,202000,135.0
202000,202100,180.0
202100,202200,128.33333333333334
202200,202300,180.0
202300,202400,130.0
202700,202800,105.0
202800,202900,177.0
202900,203000,28.333333333333332
203000,203100,115.0
203100,203200,240.0
203500,203600,112.5
203600,203700,180.0
203700,203800,76.66666666666667
203800,203900,141.66666666666666
204200,204300,240.0
204700,204800,130.0
204800,204900,146.66666666666666
205300,205400,68.75
205400,205500,176.25
205500,205600,176.25
205600,205700,141.66666666666666
206100,206200,101.66666666666667
206700,206800,112.5
206800,206900,121.66666666666667
