Start,End,State,Label
6922981,6922997,WRITING,
6922997,6923031,READING,
6923031,6923065,PRECHARGING,
6923065,6923089,ACTIVE,Row 0
6923089,6923129,WRITING,
6923129,6923181,PRECHARGING,
6923181,6923607,REFRESHING,
6923607,6923637,ACTIVE,Row 0
6923637,6923704,WRITING,
6923704,6923737,READING,
6923737,6923775,PRECHARGING,
6923775,6924197,REFRESHING,
6924197,6924233,ACTIVE,Row 0
6924233,6924260,WRITING,
6924260,6924279,READING,
6924279,6924293,WRITING,
6924293,6924326,READING,
6924326,6924354,WRITING,
6924354,6924384,PRECHARGING,
6924384,6925707,REFRESHING,
6925707,6925724,ACTIVE,Row 0
6925724,6925753,READING,
6925753,6925845,WRITING,
6925845,6925921,PRECHARGING,
6925921,6925963,ACTIVE,Row 0
6925963,6925974,WRITING,
6925974,6926025,READING,
6926025,6926037,WRITING,
6926037,6926115,READING,
6926115,6926163,WRITING,
6926163,6926181,READING,
6926181,6926215,WRITING,
6926215,6926235,READING,
6926235,6926252,PRECHARGING,
6926252,6926302,ACTIVE,Row 0
6926302,6926335,WRITING,
6926335,6926412,READING,
6926412,6926427,WRITING,
6926427,6926457,READING,
6926457,6926532,WRITING,
6926532,6926570,PRECHARGING,
6926570,6926622,ACTIVE,Row 0
6926622,6926642,READING,
6926642,6926664,WRITING,
6926664,6926682,PRECHARGING,
6926682,6927542,REFRESHING,
6927542,6927564,ACTIVE,Row 0
6927564,6927608,READING,
6927608,6927704,PRECHARGING,
6927704,6928142,REFRESHING,
6928142,6928182,ACTIVE,Row 0
6928182,6928457,READING,
6928457,6928514,WRITING,
6928514,6928542,PRECHARGING,
6928542,6929402,REFRESHING,
6929402,6929456,ACTIVE,Row 0
6929456,6929491,PRECHARGING,
6929491,6929534,ACTIVE,Row 0
6929534,6929634,READING,
6929634,6929668,PRECHARGING,
6929668,6929708,ACTIVE,Row 0
6929708,6929778,READING,
6929778,6929797,PRECHARGING,
6929797,6929842,ACTIVE,Row 0
6929842,6929859,PRECHARGING,
6929859,6929888,ACTIVE,Row 0
6929888,6929938,WRITING,
6929938,6929987,READING,
6929987,6930122,WRITING,
6930122,6930169,PRECHARGING,
6930169,6931449,REFRESHING,
6931449,6931480,ACTIVE,Row 0
6931480,6931499,READING,
6931499,6931543,PRECHARGING,
6931543,6932470,REFRESHING,
6932470,6932498,ACTIVE,Row 0
6932498,6932582,READING,
6932582,6932601,WRITING,
6932601,6932703,READING,
6932703,6932746,WRITING,
6932746,6932774,READING,
6932774,6932904,WRITING,
6932904,6932934,READING,
6932934,6932980,PRECHARGING,
6932980,6933436,REFRESHING,
6933436,6933478,ACTIVE,Row 0
6933478,6933526,READING,
6933526,6933571,PRECHARGING,
6933571,6934008,REFRESHING,
6934008,6934038,ACTIVE,Row 0
6934038,6934079,READING,
6934079,6934111,PRECHARGING,
6934111,6934131,ACTIVE,Row 0
6934131,6934149,READING,
6934149,6934164,WRITING,
6934164,6934226,READING,
6934226,6934247,WRITING,
6934247,6934286,PRECHARGING,
6934286,6934716,REFRESHING,
6934716,6934735,ACTIVE,Row 0
6934735,6934759,READING,
6934759,6934771,WRITING,
6934771,6934826,READING,
6934826,6934899,PRECHARGING,
6934899,6934947,ACTIVE,Row 0
6934947,6934968,READING,
6934968,6934985,PRECHARGING,
6934985,6935840,REFRESHING,
6935840,6935867,ACTIVE,Row 0
6935867,6935914,READING,
6935914,6935941,PRECHARGING,
6935941,6936364,REFRESHING,
6936364,6936382,ACTIVE,Row 0
6936382,6936424,WRITING,
6936424,6936454,PRECHARGING,
6936454,6936504,ACTIVE,Row 0
6936504,6936541,PRECHARGING,
6936541,6938338,REFRESHING,
6938338,6938384,ACTIVE,Row 0
6938384,6938410,READING,
6938410,6938428,WRITING,
6938428,6938466,PRECHARGING,
6938466,6938891,REFRESHING,
6938891,6938908,ACTIVE,Row 0
6938908,6938932,WRITING,
6938932,6938977,READING,
6938977,6939001,PRECHARGING,
6939001,6939057,ACTIVE,Row 0
6939057,6939075,WRITING,
6939075,6939097,PRECHARGING,
6939097,6939156,ACTIVE,Row 0
6939156,6939195,READING,
6939195,6939216,WRITING,
6939216,6939247,READING,
6939247,6939267,WRITING,
6939267,6939328,READING,
6939328,6939355,PRECHARGING,
6939355,6939784,REFRESHING,
6939784,6939825,ACTIVE,Row 0
6939825,6939845,PRECHARGING,
6939845,6939862,ACTIVE,Row 0
6939862,6939905,READING,
6939905,6939961,PRECHARGING,
6939961,6940428,REFRESHING,
6940428,6940446,ACTIVE,Row 0
6940446,6940460,WRITING,
6940460,6940488,READING,
6940488,6940548,PRECHARGING,
6940548,6940580,ACTIVE,Row 0
6940580,6940635,READING,
6940635,6940654,WRITING,
6940654,6940694,READING,
6940694,6940744,PRECHARGING,
6940744,6940778,ACTIVE,Row 0
6940778,6940836,READING,
6940836,6940909,WRITING,
6940909,6940929,READING,
6940929,6940974,WRITING,
6940974,6941009,READING,
6941009,6941058,WRITING,
6941058,6941097,READING,
6941097,6941111,WRITING,
6941111,6941133,READING,
6941133,6941171,WRITING,
6941171,6941268,PRECHARGING,
6941268,6941286,ACTIVE,Row 0
6941286,6941343,READING,
6941343,6941394,WRITING,
6941394,6941412,PRECHARGING,
6941412,6941840,REFRESHING,
6941840,6941858,ACTIVE,Row 0
6941858,6941917,READING,
6941917,6941938,PRECHARGING,
6941938,6941958,ACTIVE,Row 0
6941958,6941995,READING,
6941995,6942026,PRECHARGING,
6942026,6942045,ACTIVE,Row 0
6942045,6942070,WRITING,
6942070,6942093,PRECHARGING,
6942093,6942515,REFRESHING,
6942515,6942533,ACTIVE,Row 0
6942533,6942585,READING,
6942585,6942601,WRITING,
6942601,6942642,READING,
6942642,6942728,WRITING,
6942728,6942750,PRECHARGING,
6942750,6942773,ACTIVE,Row 0
6942773,6942805,READING,
6942805,6942815,WRITING,
6942815,6942855,READING,
6942855,6942883,WRITING,
6942883,6942917,PRECHARGING,
6942917,6942942,ACTIVE,Row 0
6942942,6942962,WRITING,
6942962,6942981,READING,
6942981,6943008,WRITING,
6943008,6943026,READING,
6943026,6943039,WRITING,
6943039,6943083,READING,
6943083,6943110,WRITING,
6943110,6943129,READING,
6943129,6943164,PRECHARGING,
6943164,6943633,REFRESHING,
6943633,6943659,ACTIVE,Row 0
6943659,6943707,WRITING,
6943707,6943731,READING,
6943731,6943749,PRECHARGING,
6943749,6944172,REFRESHING,
6944172,6944196,ACTIVE,Row 0
6944196,6944234,READING,
6944234,6944284,WRITING,
6944284,6944374,READING,
6944374,6944386,WRITING,
6944386,6944426,READING,
6944426,6944483,WRITING,
6944483,6944564,READING,
6944564,6944598,PRECHARGING,
6944598,6947199,REFRESHING,
6947199,6947219,ACTIVE,Row 0
6947219,6947274,WRITING,
6947274,6947296,READING,
6947296,6947328,PRECHARGING,
6947328,6948201,REFRESHING,
6948201,6948243,ACTIVE,Row 0
6948243,6948266,READING,
6948266,6948283,PRECHARGING,
6948283,6948367,ACTIVE,Row 0
6948367,6948434,READING,
6948434,6948464,WRITING,
6948464,6948554,READING,
6948554,6948571,PRECHARGING,
6948571,6948610,ACTIVE,Row 0
6948610,6948706,READING,
6948706,6948739,PRECHARGING,
6948739,6948764,ACTIVE,Row 0
6948764,6948848,WRITING,
6948848,6948873,READING,
6948873,6948913,WRITING,
6948913,6948930,PRECHARGING,
6948930,6949374,REFRESHING,
6949374,6949396,ACTIVE,Row 0
6949396,6949422,READING,
6949422,6949454,WRITING,
6949454,6949471,READING,
6949471,6949511,PRECHARGING,
6949511,6949945,REFRESHING,
6949945,6949969,ACTIVE,Row 0
6949969,6950057,READING,
6950057,6950086,PRECHARGING,
6950086,6950515,REFRESHING,
6950515,6950564,ACTIVE,Row 0
6950564,6950619,READING,
6950619,6950644,PRECHARGING,
6950644,6950661,ACTIVE,Row 0
6950661,6950728,READING,
6950728,6950746,WRITING,
6950746,6950841,READING,
6950841,6950872,WRITING,
6950872,6950959,READING,
6950959,6950979,PRECHARGING,
6950979,6951403,REFRESHING,
6951403,6951436,ACTIVE,Row 0
6951436,6951463,READING,
6951463,6951485,PRECHARGING,
6951485,6951504,ACTIVE,Row 0
6951504,6951525,WRITING,
6951525,6951570,READING,
6951570,6951580,WRITING,
6951580,6951640,READING,
6951640,6951658,WRITING,
6951658,6951676,READING,
6951676,6951712,WRITING,
6951712,6951743,READING,
6951743,6951792,PRECHARGING,
6951792,6952217,REFRESHING,
6952217,6952244,ACTIVE,Row 0
6952244,6952255,WRITING,
6952255,6952283,READING,
6952283,6952302,WRITING,
6952302,6952346,READING,
6952346,6952430,WRITING,
6952430,6952464,PRECHARGING,
6952464,6953786,REFRESHING,
6953786,6953820,ACTIVE,Row 0
6953820,6953848,READING,
6953848,6953893,PRECHARGING,
6953893,6953913,ACTIVE,Row 0
6953913,6953950,READING,
6953950,6954020,WRITING,
6954020,6954050,PRECHARGING,
6954050,6954068,ACTIVE,Row 0
6954068,6954092,READING,
6954092,6954125,PRECHARGING,
6954125,6955400,REFRESHING,
6955400,6955440,ACTIVE,Row 0
6955440,6955513,READING,
6955513,6955549,PRECHARGING,
6955549,6955598,ACTIVE,Row 0
6955598,6955645,PRECHARGING,
6955645,6955693,ACTIVE,Row 0
6955693,6955721,PRECHARGING,
6955721,6956193,REFRESHING,
6956193,6956219,ACTIVE,Row 0
6956219,6956249,WRITING,
6956249,6956266,PRECHARGING,
6956266,6958052,REFRESHING,
6958052,6958085,ACTIVE,Row 0
6958085,6958115,READING,
6958115,6958142,WRITING,
6958142,6958191,READING,
6958191,6958217,WRITING,
6958217,6958246,PRECHARGING,
6958246,6958266,ACTIVE,Row 0
6958266,6958360,READING,
6958360,6958374,WRITING,
6958374,6958418,READING,
6958418,6958488,WRITING,
6958488,6958507,READING,
6958507,6958549,PRECHARGING,
6958549,6958596,ACTIVE,Row 0
6958596,6958679,PRECHARGING,
6958679,6958723,ACTIVE,Row 0
6958723,6958758,PRECHARGING,
6958758,6958788,ACTIVE,Row 0
6958788,6958807,WRITING,
6958807,6958826,PRECHARGING,
6958826,6959314,REFRESHING,
6959314,6959354,ACTIVE,Row 0
6959354,6959383,PRECHARGING,
6959383,6959426,ACTIVE,Row 0
6959426,6959470,PRECHARGING,
6959470,6959523,ACTIVE,Row 0
6959523,6959551,PRECHARGING,
6959551,6960413,REFRESHING,
6960413,6960436,ACTIVE,Row 0
6960436,6960610,WRITING,
6960610,6960634,READING,
6960634,6960658,WRITING,
6960658,6960701,PRECHARGING,
6960701,6960738,ACTIVE,Row 0
6960738,6960777,READING,
6960777,6960800,PRECHARGING,
6960800,6960843,ACTIVE,Row 0
6960843,6960875,WRITING,
6960875,6960902,READING,
6960902,6960944,PRECHARGING,
6960944,6961943,REFRESHING,
6961943,6961982,ACTIVE,Row 0
6961982,6962018,WRITING,
6962018,6962059,PRECHARGING,
6962059,6963386,REFRESHING,
6963386,6963418,ACTIVE,Row 0
6963418,6963492,READING,
6963492,6963525,PRECHARGING,
6963525,6965255,REFRESHING,
6965255,6965272,ACTIVE,Row 0
6965272,6965301,READING,
6965301,6965351,PRECHARGING,
6965351,6968349,REFRESHING,
6968349,6968373,ACTIVE,Row 0
6968373,6968385,WRITING,
6968385,6968419,READING,
6968419,6968441,WRITING,
6968441,6968476,READING,
