Start,End,State,Label
7000284,7000420,READING,
7000420,7000449,PRECHARGING,
7000449,7000471,ACTIVE,Row 0
7000471,7000506,WRITING,
7000506,7000540,READING,
7000540,7000585,PRECHARGING,
7000585,7001075,REFRESHING,
7001075,7001111,ACTIVE,Row 0
7001111,7001128,WRITING,
7001128,7001156,READING,
7001156,7001179,PRECHARGING,
7001179,7003388,REFRESHING,
7003388,7003419,ACTIVE,Row 0
7003419,7003445,READING,
7003445,7003474,PRECHARGING,
7003474,7003492,ACTIVE,Row 0
7003492,7003526,READING,
7003526,7003556,PRECHARGING,
7003556,7003586,ACTIVE,Row 0
7003586,7003620,WRITING,
7003620,7003640,PRECHARGING,
7003640,7004929,REFRESHING,
